iter	MultiClass
177	1.575165614
178	1.573586144
179	1.572025972
180	1.570494999
181	1.568980148
182	1.567527015
183	1.565954171
184	1.564477234
185	1.562931505
186	1.561497831
187	1.559985467
188	1.55854864
189	1.557006221
190	1.555567402
191	1.554163093
192	1.552698574
193	1.551234517
194	1.5498218
195	1.548459965
196	1.546957279
197	1.545536481
198	1.544052124
199	1.542683136
200	1.54128068
201	1.539829182
202	1.538396073
203	1.536959438
204	1.535492732
205	1.534068166
206	1.532622805
207	1.531257487
208	1.529883046
209	1.528466051
210	1.527031941
211	1.525595609
212	1.524251162
213	1.522903363
214	1.521460951
215	1.520035307
216	1.518618879
217	1.51721064
218	1.515862552
219	1.514497877
220	1.513044951
221	1.51172198
222	1.510383698
223	1.509123464
224	1.507834048
225	1.506437026
226	1.505145702
227	1.503787978
228	1.502406055
229	1.501035526
230	1.499665078
231	1.498388358
232	1.497119366
233	1.495812461
234	1.494507517
235	1.493145028
236	1.491856399
237	1.490524153
238	1.489192504
239	1.487995311
240	1.486681867
241	1.485490551
242	1.484261393
243	1.483014633
244	1.481718184
245	1.48038122
246	1.479169027
247	1.477932909
248	1.476712522
249	1.475393985
250	1.474147284
251	1.472958313
252	1.471676758
253	1.470406275
254	1.469200949
255	1.468010719
256	1.466802667
257	1.465601743
258	1.464419503
259	1.463206376
260	1.461990522
261	1.460784632
262	1.45958954
263	1.458381491
264	1.457186449
265	1.455941185
266	1.45472294
267	1.453562756
268	1.452372373
269	1.451157303
270	1.449985269
271	1.448830627
272	1.447678412
273	1.446494639
274	1.445302318
275	1.444114576
276	1.442903248
277	1.441768756
278	1.440535476
279	1.439339038
280	1.438196665
281	1.436986239
282	1.435825524
283	1.434720716
284	1.433552261
285	1.432387661
286	1.431259852
287	1.430128111
288	1.428964775
289	1.427829005
290	1.426679834
291	1.425526933
292	1.424345538
293	1.423226043
294	1.422072061
295	1.420958975
296	1.419827864
297	1.418700383
298	1.417592537
299	1.416451009
300	1.415280116
301	1.414210979
302	1.413131148
303	1.412059932
304	1.410896899
305	1.40977809
306	1.408716954
307	1.407608949
308	1.406544364
309	1.405465861
310	1.404396071
311	1.403351578
312	1.402241879
313	1.401206358
314	1.400185253
315	1.399078652
316	1.398004316
317	1.396962863
318	1.395878985
319	1.394849604
320	1.39381496
321	1.392783302
322	1.391706937
323	1.390674332
324	1.389596518
325	1.388540002
326	1.387495016
327	1.386391572
328	1.385354547
329	1.38432377
330	1.383320826
331	1.382320242
332	1.381255001
333	1.380188738
334	1.379173236
335	1.378175263
336	1.377167156
337	1.376182434
338	1.375131015
339	1.374100629
340	1.37304567
341	1.371981783
342	1.370962955
343	1.369979866
344	1.368965955
345	1.367975559
346	1.367004262
347	1.365993045
348	1.365019172
349	1.364001942
350	1.36299745
351	1.36198735
352	1.361016632
353	1.360042372
354	1.359085069
355	1.358054069
356	1.357107835
357	1.356128881
358	1.3551557
359	1.354154808
360	1.353199189
361	1.352264743
362	1.351290767
363	1.350363606
364	1.349406681
365	1.348462993
366	1.347485095
367	1.34653167
368	1.345548947
369	1.344634383
370	1.343642142
371	1.342677539
372	1.341749878
373	1.340858023
374	1.339874418
375	1.338921457
376	1.337997433
377	1.337067084
378	1.336141706
379	1.335168289
380	1.334193762
381	1.333245142
382	1.332307297
383	1.331416529
384	1.330480376
385	1.329556298
386	1.328642056
387	1.327731301
388	1.326813071
389	1.325890756
390	1.324942557
391	1.324044769
392	1.323158059
393	1.322253098
394	1.321329196
395	1.320418817
396	1.319555193
397	1.318665734
398	1.317778052
399	1.316850246
400	1.315948283
401	1.315077145
402	1.314168113
403	1.313319491
404	1.312421932
405	1.311567027
406	1.310701842
407	1.30986439
408	1.308948843
409	1.308058479
410	1.307215621
411	1.306299028
412	1.305443935
413	1.304616864
414	1.303698201
415	1.302816223
416	1.301941909
417	1.301037984
418	1.300145991
419	1.299335659
420	1.29850528
421	1.297619852
422	1.296753774
423	1.295907269
424	1.295046911
425	1.29421924
426	1.293320972
427	1.292486084
428	1.291623571
429	1.290759129
430	1.289936662
431	1.289121095
432	1.288297971
433	1.287429162
434	1.286565481
435	1.285716508
436	1.284898003
437	1.284117061
438	1.283268119
439	1.282461964
440	1.281647391
441	1.280799352
442	1.279974078
443	1.27913979
444	1.278362452
445	1.277538944
446	1.276736228
447	1.275941282
448	1.275148411
449	1.274317841
450	1.27347561
451	1.272660419
452	1.271862875
453	1.27103975
454	1.270266346
455	1.26948975
456	1.268693232
457	1.267864177
458	1.267089197
459	1.26632781
460	1.265505075
461	1.264740497
462	1.263957097
463	1.263132892
464	1.262350589
465	1.261545325
466	1.260740334
467	1.259962606
468	1.259199744
469	1.258378379
470	1.257610587
471	1.256864818
472	1.256059057
473	1.255276913
474	1.254478017
475	1.253673751
476	1.252870003
477	1.252096812
478	1.251322529
479	1.250511457
480	1.249743528
481	1.249000171
482	1.248273526
483	1.247539169
484	1.246751518
485	1.246021679
486	1.245246035
487	1.244464313
488	1.243735248
489	1.242963306
490	1.242181766
491	1.24141765
492	1.24068912
493	1.239973884
494	1.239237989
495	1.23845784
496	1.237704123
497	1.236955346
498	1.236205376
499	1.235448265
500	1.234737079
501	1.23400197
502	1.23327436
503	1.232555121
504	1.231847388
505	1.231135191
506	1.230434376
507	1.229672602
508	1.228975674
509	1.228243498
510	1.227513979
511	1.226817403
512	1.226108032
513	1.225418894
514	1.22467876
515	1.223944155
516	1.223224586
517	1.222522092
518	1.221844541
519	1.22116187
520	1.220461449
521	1.21974101
522	1.219063352
523	1.218362101
524	1.217683617
525	1.216956489
526	1.216278025
527	1.215559171
528	1.214824842
529	1.214148236
530	1.21348884
531	1.212778031
532	1.212084671
533	1.21140608
534	1.210741455
535	1.21002366
536	1.209349418
537	1.208654742
538	1.20792989
539	1.207260813
540	1.206602959
541	1.205898022
542	1.205241387
543	1.204568782
544	1.203888049
545	1.20319118
546	1.202520881
547	1.201844843
548	1.201145692
549	1.200471515
550	1.199794943
551	1.199170018
552	1.198492861
553	1.197848562
554	1.197177044
555	1.196498095
556	1.195874986
557	1.19524429
558	1.194579991
559	1.193906181
560	1.193269884
561	1.192581396
562	1.191889978
563	1.191257614
564	1.190567694
565	1.189898473
566	1.189271378
567	1.188587979
568	1.18790837
569	1.187238469
570	1.186582552
571	1.185934042
572	1.185290303
573	1.184663575
574	1.184025947
575	1.183376805
576	1.182722929
577	1.182070711
578	1.181435764
579	1.180777844
580	1.180123156
581	1.179487278
582	1.178865366
583	1.178214297
584	1.177597267
585	1.176946519
586	1.176314214
587	1.175654165
588	1.175029365
589	1.174426091
590	1.17379268
591	1.173147687
592	1.172490141
593	1.171890982
594	1.171288146
595	1.170621474
596	1.169981292
597	1.16933402
598	1.168748779
599	1.168099661
600	1.167509413
601	1.166869535
602	1.166270042
603	1.165661381
604	1.165076512
605	1.164443739
606	1.163854684
607	1.163234457
608	1.162598265
609	1.161974758
610	1.161348038
611	1.160761724
612	1.160139949
613	1.159550399
614	1.158966423
615	1.158376785
616	1.157787165
617	1.157172949
618	1.156593326
619	1.1560221
620	1.155447195
621	1.154864701
622	1.154305025
623	1.153731938
624	1.153169736
625	1.152568109
626	1.151977904
627	1.151414224
628	1.150823636
629	1.150232563
630	1.149666291
631	1.149060986
632	1.148469251
633	1.147897138
634	1.1473062
635	1.146749375
636	1.146188427
637	1.145597021
638	1.145040412
639	1.14442231
640	1.143868105
641	1.143295291
642	1.142717362
643	1.142141119
644	1.141577629
645	1.140997792
646	1.140437786
647	1.139870845
648	1.139306935
649	1.138730751
650	1.138197838
651	1.137632886
652	1.137044
653	1.136485451
654	1.135952904
655	1.135415853
656	1.134872253
657	1.134299841
658	1.133746564
659	1.133189615
660	1.132602829
661	1.132071805
662	1.131495092
663	1.130963837
664	1.130419532
665	1.129881304
666	1.129315742
667	1.128769686
668	1.128227194
669	1.127680527
670	1.127135579
671	1.126569786
672	1.125991759
673	1.125470431
674	1.124950097
675	1.124424632
676	1.123867175
677	1.123316049
678	1.122806077
679	1.122291501
680	1.121735918
681	1.121185646
682	1.120638847
683	1.120116684
684	1.119555838
685	1.119040042
686	1.118476626
687	1.117920447
688	1.117388929
689	1.11684194
690	1.116290257
691	1.115771678
692	1.115253891
693	1.11473504
694	1.114230263
695	1.113713313
696	1.11319768
697	1.112691783
698	1.11217805
699	1.111682297
700	1.111153022
701	1.110663021
702	1.110155916
703	1.109648343
704	1.109116021
705	1.10863094
706	1.108133044
707	1.107610293
708	1.107066936
709	1.10657127
710	1.106048568
711	1.105533833
712	1.105036916
713	1.104523579
714	1.104040298
715	1.103558436
716	1.103070703
717	1.102563722
718	1.102080714
719	1.101558322
720	1.101064618
721	1.100540078
722	1.10001682
723	1.09952253
724	1.098998136
725	1.098493705
726	1.097972911
727	1.097491751
728	1.096980919
729	1.096498693
730	1.095991214
731	1.095484406
732	1.095006564
733	1.094543535
734	1.09406517
735	1.093562231
736	1.093097897
737	1.09260368
738	1.092138896
739	1.091653081
740	1.09113656
741	1.090648489
742	1.090134859
743	1.089632194
744	1.089137475
745	1.088652008
746	1.088189846
747	1.0877266
748	1.087242603
749	1.086766589
750	1.086292759
751	1.085826847
752	1.085351991
753	1.08485823
754	1.084369157
755	1.083911981
756	1.083448853
757	1.082984833
758	1.082522681
759	1.082064922
760	1.08160808
761	1.081155195
762	1.080686448
763	1.080214625
764	1.079735121
765	1.079279613
766	1.07880176
767	1.078355667
768	1.077888058
769	1.07743909
770	1.076994351
771	1.07652116
772	1.076032412
773	1.075599692
774	1.075126253
775	1.074635919
776	1.074152285
777	1.073688251
778	1.073240546
779	1.072776734
780	1.072335176
781	1.071868261
782	1.071392994
783	1.070959734
784	1.070482665
785	1.070012736
786	1.069565777
787	1.069090724
788	1.068643809
789	1.068163541
790	1.067697288
791	1.067262533
792	1.066786038
793	1.066333418
794	1.065847085
795	1.065395973
796	1.064919503
797	1.064454191
798	1.063979278
799	1.06351612
800	1.06307251
801	1.062647931
802	1.062216118
803	1.061802184
804	1.061348636
805	1.060884669
806	1.060439933
807	1.059978899
808	1.059523571
809	1.059072675
810	1.058608093
811	1.058153527
812	1.057684484
813	1.057247049
814	1.056797885
815	1.056352505
816	1.055937093
817	1.055488832
818	1.055055163
819	1.054632951
820	1.054216262
821	1.053753423
822	1.053311101
823	1.052872612
824	1.052453896
825	1.052025668
826	1.051596449
827	1.051166743
828	1.050766791
829	1.050341931
830	1.049930489
831	1.049500609
832	1.049070242
833	1.048633941
834	1.048227488
835	1.047807664
836	1.04738627
837	1.046950728
838	1.046524521
839	1.046109359
840	1.045673084
841	1.045273043
842	1.044870709
843	1.044425652
844	1.044022841
845	1.043608455
846	1.043211802
847	1.042784753
848	1.042358959
849	1.04194526
850	1.041524557
851	1.041087591
852	1.040673772
853	1.04024931
854	1.039821927
855	1.03939697
856	1.038974111
857	1.03857417
858	1.038169088
859	1.037764454
860	1.037351682
861	1.036927175
862	1.036552674
863	1.036148512
864	1.03573642
865	1.035352764
866	1.034933648
867	1.034512402
868	1.034101006
869	1.033713885
870	1.033325183
871	1.032955678
872	1.032576874
873	1.03218912
874	1.031792248
875	1.031375704
876	1.030980056
877	1.030585017
878	1.030167971
879	1.029781637
880	1.029389253
881	1.028985135
882	1.02860862
883	1.028209421
884	1.027801924
885	1.027428189
886	1.02702308
887	1.026627666
888	1.026238056
889	1.025825428
890	1.025449888
891	1.02506428
892	1.024676826
893	1.024311937
894	1.023912544
895	1.023506815
896	1.023126679
897	1.02272853
898	1.022353028
899	1.021959926
900	1.021588088
901	1.021216197
902	1.020842049
903	1.02043091
904	1.020033985
905	1.019660575
906	1.019268938
907	1.018863304
908	1.018476755
909	1.018081816
910	1.017708932
911	1.017331838
912	1.016947883
913	1.016582049
914	1.016219534
915	1.01582377
916	1.015467251
917	1.015110109
918	1.014736527
919	1.014348325
920	1.013991103
921	1.013630478
922	1.013258237
923	1.012861781
924	1.012475793
925	1.012109093
926	1.011734071
927	1.011358377
928	1.010957877
929	1.010577133
930	1.010229879
931	1.009883328
932	1.009526047
933	1.009151056
934	1.008781825
935	1.008407199
936	1.008024066
937	1.007646639
938	1.007280154
939	1.006903025
940	1.006533668
941	1.006174307
942	1.005802603
943	1.00544301
944	1.005104433
945	1.004745725
946	1.004372024
947	1.00399611
948	1.003607078
949	1.003233339
950	1.00289012
951	1.002524463
952	1.002164354
953	1.001820151
954	1.001440587
955	1.001069437
956	1.000716053
957	1.000354465
958	1.000000094
959	0.9996429684
960	0.9993088857
961	0.998981914
962	0.9986136482
963	0.9982840652
964	0.9979201389
965	0.9975670198
966	0.9972084363
967	0.9968371291
968	0.9965040333
969	0.9961422018
970	0.9958109573
971	0.9954636465
972	0.9951333145
973	0.9947870308
974	0.9944407124
975	0.9940756013
976	0.9937103224
977	0.9933402396
978	0.9930186248
979	0.9926624727
980	0.9923201866
981	0.991986196
982	0.9916536196
983	0.9913134408
984	0.9909613852
985	0.9906280649
986	0.9903034474
987	0.9899570907
988	0.9896284162
989	0.989284053
990	0.9889637182
991	0.9886122989
992	0.9882697073
993	0.9879525044
994	0.9876051195
995	0.9872685208
996	0.9869169383
997	0.9866062963
998	0.9862836179
999	0.9859695399
